frmula,n ions,x,formation energy
Co8Na8O16   ,           8,  1.00000000,  0.00000000
Co8O16      ,           0,  0.00000000,  0.00000000
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na7O16   ,           7,  0.87500000, -0.11895205
Co8Na6O16   ,           6,  0.75000000, -0.24350822
Co8Na6O16   ,           6,  0.75000000, -0.15665959
Co8Na6O16   ,           6,  0.75000000, -0.24438197
Co8Na6O16   ,           6,  0.75000000, -0.15665959
Co8Na6O16   ,           6,  0.75000000, -0.24350822
Co8Na6O16   ,           6,  0.75000000, -0.24350822
Co8Na6O16   ,           6,  0.75000000, -0.15665959
Co8Na5O16   ,           5,  0.62500000, -0.29045889
Co8Na5O16   ,           5,  0.62500000, -0.29045889
Co8Na5O16   ,           5,  0.62500000, -0.29045889
Co8Na5O16   ,           5,  0.62500000, -0.29045889
Co8Na5O16   ,           5,  0.62500000, -0.29045889
Co8Na5O16   ,           5,  0.62500000, -0.29045889
Co8Na4O16   ,           4,  0.50000000, -0.34564406
Co8Na4O16   ,           4,  0.50000000, -0.24183381
Co8Na4O16   ,           4,  0.50000000, -0.34879956
Co8Na4O16   ,           4,  0.50000000, -0.34564406
Co8Na4O16   ,           4,  0.50000000, -0.24183381
Co8Na3O16   ,           3,  0.37500000, -0.30556648
Co8Na3O16   ,           3,  0.37500000, -0.30556648
Co8Na3O16   ,           3,  0.37500000, -0.30556648
Co8Na3O16   ,           3,  0.37500000, -0.30556648
Co8Na2O16   ,           2,  0.25000000, -0.26928891
Co8Na2O16   ,           2,  0.25000000, -0.16902766
Co8Na2O16   ,           2,  0.25000000, -0.27223066
Co8NaO16    ,           1,  0.12500000, -0.13403345
Co8NaO16    ,           1,  0.12500000, -0.13403345
